כותרת,הערה,כתובת אתר,תגיות,תגובה
,,,,
נארה,,https://www.google.com/maps/place/%D7%A0%D7%90%D7%A8%D7%94%E2%80%AD/data=!4m2!3m1!1s0x600137c578a70cc1:0x4afed9b0b9492622,,
Gion,,https://www.google.com/maps/place/Gion/data=!4m2!3m1!1s0x600108c3c1c67b67:0xdcb04aa1398efb4,,
ג'יאיי,,https://www.google.com/maps/place/%D7%92'%D7%99%D7%90%D7%99%D7%99%E2%80%AD/data=!4m2!3m1!1s0x346e9431bd030075:0x30666786f16c696e,,
Fenqihu Old Street,לינה בכפר קטן עם old street. רכבת יער. טיול קצר בכפר ,https://www.google.com/maps/place/Fenqihu+Old+Street/data=!4m2!3m1!1s0x346ec2a6aaaaaaab:0xde130b38b878d000,,
Alishan Forest Recreation Area shuttle parking lot,קרוב לשבילים ומהרכבת לזריחה,https://www.google.com/maps/place/Alishan+Forest+Recreation+Area+shuttle+parking+lot/data=!4m2!3m1!1s0x346edc273c2868f7:0x5cb54fcff8ade3a5,,
Doulan Village,"כפר קטן, על החוף, ברים קטנים",https://www.google.com/maps/place/Doulan+Village/data=!4m2!3m1!1s0x346fa31a12c6a18b:0xd48e9b5faab827f8,,
Taitung,"מסעדות, שווקים, העיר",https://www.google.com/maps/place/Taitung/data=!4m2!3m1!1s0x346fb96c40c8266b:0xc7c4eab8c68fcaa1,,
Buqaiz,"כפר ילידי יפהפה. קניון ירוק עם מים צלולים, חול שחור, שבילים",https://www.google.com/maps/place/Buqaiz/data=!4m2!3m1!1s0x3468da852bd1bd57:0xb1625c9b551614b0,,
Ita Thao Visitor Center,"אווירה מקומית, שוק לילה, ורכבל. מסעדות",https://www.google.com/maps/place/Ita+Thao+Visitor+Center/data=!4m2!3m1!1s0x3468d5d9cd040cd3:0xe64cf2dd58ccc515,,
Shuishe,"טיילת, מסעדות, השכרת אופניים, מלונות",https://www.google.com/maps/place/Shuishe/data=!4m2!3m1!1s0x3468d5fdfa801a7f:0x7f1bfaedc8ccb6e4,,
Hengchun,אופציה לשינה. חומות עתיקות. אווירה היפסטרית.,https://www.google.com/maps/place/Hengchun/data=!4m2!3m1!1s0x3471b0ce5047b825:0xa4070a34a145ae82,,
